aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,ssd_read_ratio_vs_fullload,ttft_reduction_vs_fullload_pct,ssd_reduction_vs_fullload_pct,quality_delta_vs_fullload,ttft_reduction_vs_sparsevlm_pct,ssd_reduction_vs_sparsevlm_pct
turn,3,SparseVLM 25%,0.25,2,0.5,630.7327069807798,630.7327069807798,651.9337504752912,30.688854021718726,30.688854021718726,36.32686530763749,661.4215610024985,661.4215610024985,688.2606157829287,849.494016,1698.988032,,,,0.24621125143513203,0.24621125143513203,0.676640834290088,50.0,2242.0,2325.0,1.175453696,0.794394624,5.234724352,6.564471296,2.1300736,0.7226945807314897,,,,,
turn,3,Static+Diverse 25%,0.25,2,0.5,325.93969951267354,325.93969951267354,339.70162066689227,19.58041251054965,19.58041251054965,19.595877671963535,345.5201120232232,345.5201120232232,359.2974983388558,301.13792,602.27584,16.118038562126458,54.28078444674611,53.64917099359445,0.24247990815154996,0.24247990815154996,0.2560466896287792,50.0,2242.0,2325.0,1.175453696,0.30113792,5.235203584,6.564999168,2.1300736,0.25618867082961644,46.59807209338078,74.38113291703836,0.0,48.323640758555776,64.55090744276649
turn,3,Static+Diverse 50%,0.5,2,0.5,556.6385370038915,556.6385370038915,574.0753053192748,21.509415993932635,21.509415993932635,22.947163321077824,578.1479529978242,578.1479529978242,594.1469739860622,597.950464,1195.900928,23.82146453601308,94.72790794097818,63.5507770057302,0.48643959688735805,0.48643959688735805,0.5090170142875367,50.0,2242.0,2325.0,1.175453696,0.597950464,5.234724352,6.564052992,2.130171904,0.5086975914362176,8.800397534968008,49.13024085637824,0.0,11.74731691520574,29.610985747073226
turn,4,FullLoad,1.0,2,0.0,625.7223279972095,625.7223279972095,694.7184277087217,22.176332509843633,22.176332509843633,24.549166762153618,647.8986605070531,647.8986605070531,719.2675944708753,1175.453696,2350.907392,0.0,,,1.0,1.0,1.0,66.0,2242.0,2340.5,1.175453696,1.175453696,5.235203584,6.575944448,2.13105664,1.0,,,,,
turn,4,ReComp,,2,0.0,519.0468114742544,519.0468114742544,529.0750079409918,19.123732490697876,19.123732490697876,19.144707443774678,538.1705439649522,538.1705439649522,548.2197153847665,0.0,0.0,0.0,0.0,519.0466365020256,,,,66.0,2242.0,2340.5,1.175453696,0.0,5.234724352,8.332463104,2.13105664,0.0,,,,,
turn,4,SparseVLM 25%,0.25,2,0.0,616.0109945049044,616.0109945049044,654.4190826563863,36.855476995697245,36.855476995697245,45.04981321224477,652.8664715006016,652.8664715006016,699.4688958686311,851.06688,1702.13376,,,,0.24621125143513203,0.24621125143513203,0.6777666156397499,66.0,2242.0,2340.5,1.175453696,0.795967488,5.234724352,6.575572224,2.13105664,0.7240326717216771,,,,,
turn,4,Static+Diverse 25%,0.25,2,0.0,313.91145297675394,313.91145297675394,340.2177861047676,19.461787538602948,19.461787538602948,19.483792077517137,333.3732405153569,333.3732405153569,359.7015781822847,301.13792,602.27584,14.93192938505672,51.51389408274554,51.83978448621929,0.24247990815154996,0.24247990815154996,0.2560466896287792,66.0,2242.0,2340.5,1.175453696,0.30113792,5.235203584,6.576100096,2.13105664,0.25618867082961644,49.832147754498244,74.38113291703836,0.0,49.04125806568624,64.61642121474637
turn,4,Static+Diverse 50%,0.5,2,0.0,534.6880340075586,534.6880340075586,563.8711397157749,19.903573003830388,19.903573003830388,20.130752833210863,554.591607011389,554.591607011389,583.5475328902248,597.950464,1195.900928,22.992538491962478,92.34161491622217,51.90510849934071,0.48643959688735805,0.48643959688735805,0.5090170142875367,66.0,2242.0,2340.5,1.175453696,0.597950464,5.234724352,6.57515392,2.13105664,0.5086975914362176,14.548672776474248,49.13024085637824,0.0,13.201543677431605,29.741072287996918
turn,5,FullLoad,1.0,2,0.5,643.0697989999317,643.0697989999317,662.6074679021258,20.105869480175897,20.105869480175897,20.14690002251882,663.1756684801076,663.1756684801076,682.7543679246446,1175.453696,2350.907392,0.0,,,1.0,1.0,1.0,80.0,2242.0,2354.0,1.175453696,1.175453696,5.235203584,6.585366528,2.13105664,1.0,,,,,
turn,5,ReComp,,2,0.5,536.168007995002,536.168007995002,557.3225314030424,19.869937968906015,19.869937968906015,20.04116207244806,556.037945963908,556.037945963908,577.3636934754904,0.0,0.0,0.0,0.0,536.1678114859387,,,,80.0,2242.0,2354.0,1.175453696,0.0,5.234724352,8.360488704,2.13105664,0.0,,,,,
