image_id,layer,layout,importance_source,analysis_only_calibration,physical_fraction_requested,selected_chunk_count,total_chunk_count,selected_physical_rows,selected_normal_tokens,total_normal_tokens,realized_normal_token_fraction,selected_importance_mass,total_importance_mass,importance_mass_coverage,separator_tokens,separator_tail,prefix_rule,order_sha256
n355567,3,raster,sparsevlm_calib4_analysis_only,True,0.25,8,34,512,512,2112,0.24242424242424243,0.009060181524120026,0.026270446705751738,0.3448811367998687,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,3,raster,visionzip_image_saliency,False,0.3,10,34,640,639,2112,0.3025568181818182,13.699898719787598,41.25156879425049,0.3321061263904476,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,3,raster,sparsevlm_calib4_analysis_only,True,0.3,10,34,640,639,2112,0.3025568181818182,0.009572214538337676,0.026270446705751738,0.3643719745443805,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,3,raster,visionzip_image_saliency,False,0.5,17,34,1088,1078,2112,0.5104166666666666,25.846858024597168,41.25156879425049,0.6265666683735824,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,3,raster,sparsevlm_calib4_analysis_only,True,0.5,17,34,1088,1078,2112,0.5104166666666666,0.012948565002091073,0.026270446705751738,0.4928947401284985,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,4,raster,visionzip_image_saliency,False,0.1,3,34,192,192,2112,0.09090909090909091,4.627756118774414,41.25156879425049,0.11218376061904865,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,4,raster,sparsevlm_calib4_analysis_only,True,0.1,3,34,192,192,2112,0.09090909090909091,0.0036117584276382786,0.019945138082754,0.18108465394688167,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,4,raster,visionzip_image_saliency,False,0.2,7,34,448,448,2112,0.21212121212121213,8.402329444885254,41.25156879425049,0.203685088603378,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,4,raster,sparsevlm_calib4_analysis_only,True,0.2,7,34,448,448,2112,0.21212121212121213,0.0051503342055667645,0.019945138082754,0.25822504633448057,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,4,raster,visionzip_image_saliency,False,0.25,8,34,512,512,2112,0.24242424242424243,12.111695289611816,41.25156879425049,0.29360568927744407,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,4,raster,sparsevlm_calib4_analysis_only,True,0.25,8,34,512,512,2112,0.24242424242424243,0.005918773026181157,0.019945138082754,0.296752672336671,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,4,raster,visionzip_image_saliency,False,0.3,10,34,640,639,2112,0.3025568181818182,13.699898719787598,41.25156879425049,0.3321061263904476,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,4,raster,sparsevlm_calib4_analysis_only,True,0.3,10,34,640,639,2112,0.3025568181818182,0.006244150470067211,0.019945138082754,0.3130662943600452,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
