metric,level,dialog_id,method,budget,scenario,break_even_turn,censored_at_turn_10,stays_better_through_turn_10,better_at_turn_2,two_turn_ours_ms,two_turn_recomp_ms,two_turn_delta_ms,ten_turn_ours_ms,ten_turn_recomp_ms,ten_turn_delta_ms
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:212772,Prefix25,0.25,worst,4,False,True,False,1647.6337789790705,1082.3172399541363,565.3165390249342,3823.030845960602,5638.584912987426,-1815.5540670268238
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:212772,Prefix45,0.45,hidden,2,False,True,True,969.5460749790072,1082.3172399541363,-112.77116497512907,4170.414841035381,5638.584912987426,-1468.170071952045
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:212772,Prefix45,0.45,worst,7,False,True,False,1838.0787430796772,1082.3172399541363,755.7615031255409,5038.947509136051,5638.584912987426,-599.637403851375
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:223323,Prefix25,0.25,hidden,2,False,True,True,833.2542058778927,1121.9220390776172,-288.66783319972456,3077.4733778089285,5613.744705100544,-2536.2713272916153
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:223323,Prefix25,0.25,worst,5,False,True,False,1940.3064647922292,1121.9220390776172,818.384425714612,4184.525636723265,5613.744705100544,-1429.2190683772787
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:223323,Prefix45,0.45,hidden,2,False,True,True,995.5329148797318,1121.9220390776172,-126.3891241978854,4492.745691793971,5613.744705100544,-1120.999013306573
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:223323,Prefix45,0.45,worst,10,False,True,False,2102.5851737940684,1121.9220390776172,980.6631347164512,5599.797950708307,5613.744705100544,-13.946754392236471
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:226673,Prefix25,0.25,hidden,2,False,True,True,816.5122059872374,1104.9229870550334,-288.41078106779605,2929.758246988058,5604.59223901853,-2674.8339920304716
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:226673,Prefix25,0.25,worst,5,False,True,False,1801.8821169389412,1104.9229870550334,696.9591298839077,3915.128157939762,5604.59223901853,-1689.4640810787678
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:226673,Prefix45,0.45,hidden,2,False,True,True,995.92584813945,1104.9229870550334,-108.99713891558349,4490.646729362197,5604.59223901853,-1113.9455096563324
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:226673,Prefix45,0.45,worst,9,False,True,False,1981.2957590911537,1104.9229870550334,876.3727720361203,5476.016640313901,5604.59223901853,-128.57559870462865
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:230818,Prefix25,0.25,hidden,2,False,True,True,560.33689097967,622.7084849961102,-62.37159401644021,2571.3933360530064,3224.3364850291982,-652.9431489761919
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:230818,Prefix25,0.25,worst,,True,,False,1263.761661015451,622.7084849961102,641.0531760193408,3274.8181060887873,3224.3364850291982,50.48162105958909
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:230818,Prefix45,0.45,hidden,2,False,False,True,615.4603379545733,622.7084849961102,-7.248147041536868,3110.9969508834183,3224.3364850291982,-113.33953414577991
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:230818,Prefix45,0.45,worst,,True,,False,1318.8851079903543,622.7084849961102,696.1766229942441,3814.4217209191993,3224.3364850291982,590.0852358900011
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:237283,Prefix25,0.25,hidden,2,False,True,True,686.8772500893101,849.4880670914426,-162.61081700213253,2788.429895066656,4659.128229017369,-1870.6983339507133
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:237283,Prefix25,0.25,worst,5,False,True,False,1431.5673949895427,849.4880670914426,582.0793278981,3533.1200399668887,4659.128229017369,-1126.0081890504807
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:237283,Prefix45,0.45,hidden,2,False,True,True,773.4141800319776,849.4880670914426,-76.07388705946505,3692.175205796957,4659.128229017369,-966.9530232204124
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:237283,Prefix45,0.45,worst,9,False,True,False,1518.1043249322101,849.4880670914426,668.6162578407675,4436.86535069719,4659.128229017369,-222.26287832017988
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:239217,Prefix25,0.25,hidden,2,False,True,True,773.5079159028828,1077.2005610633641,-303.69264516048133,2982.256307033822,5575.446570990607,-2593.190263956785
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:239217,Prefix25,0.25,worst,5,False,True,False,1713.7560759438202,1077.2005610633641,636.555514880456,3922.5044670747593,5575.446570990607,-1652.9421039158478
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:239217,Prefix45,0.45,hidden,2,False,True,True,881.2299688579515,1077.2005610633641,-195.9705922054127,4202.1787476260215,5575.446570990607,-1373.2678233645856
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:239217,Prefix45,0.45,worst,7,False,True,False,1821.4781288988888,1077.2005610633641,744.2775678355247,5142.426907666959,5575.446570990607,-433.0196633236483
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:247001,Prefix25,0.25,hidden,2,False,True,True,816.2307449383661,1113.5182230500504,-297.2874781116843,3363.7697368394583,5621.80745205842,-2258.0377152189612
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:247001,Prefix25,0.25,worst,5,False,True,False,1783.3331319270656,1113.5182230500504,669.8149088770151,4330.872123828158,5621.80745205842,-1290.9353282302618
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:247001,Prefix45,0.45,hidden,2,False,True,True,942.4159729387611,1113.5182230500504,-171.10225011128932,4737.959584919736,5621.80745205842,-883.8478671386838
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:247001,Prefix45,0.45,worst,,True,,False,1909.5183599274606,1113.5182230500504,796.0001368774101,5705.061971908435,5621.80745205842,83.25451985001564
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:255378,Prefix25,0.25,hidden,2,False,True,True,841.3948989473283,1117.2219519503415,-275.82705300301313,3133.976710960269,5612.979114870541,-2479.002403910272
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:255378,Prefix25,0.25,worst,5,False,True,False,1831.700759823434,1117.2219519503415,714.4788078730926,4124.282571836375,5612.979114870541,-1488.696543034166
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:255378,Prefix45,0.45,hidden,2,False,True,True,964.1888730693609,1117.2219519503415,-153.0330788809806,4473.531991941854,5612.979114870541,-1139.4471229286864
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:255378,Prefix45,0.45,worst,9,False,True,False,1954.4947339454666,1117.2219519503415,837.2727819951251,5463.83785281796,5612.979114870541,-149.14126205258071
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:258333,Prefix25,0.25,hidden,2,False,True,True,782.2335070231929,1109.6245390363038,-327.3910320131108,3026.3282289961353,5692.610577913001,-2666.282348916866
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:258333,Prefix25,0.25,worst,5,False,True,False,1697.2111149225384,1109.6245390363038,587.5865758862346,3941.3058368954808,5692.610577913001,-1751.3047410175204
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:258333,Prefix45,0.45,hidden,2,False,True,True,994.261660031043,1109.6245390363038,-115.36287900526077,4620.4299262026325,5692.610577913001,-1072.1806517103687
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:258333,Prefix45,0.45,worst,9,False,True,False,1909.2392679303885,1109.6245390363038,799.6147288940847,5535.407534101978,5692.610577913001,-157.20304381102324
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:261686,Prefix25,0.25,hidden,2,False,True,True,1052.815172006376,1446.4859130093828,-393.6707410030067,3716.1530611338094,7603.892486891709,-3887.7394257579
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:261686,Prefix25,0.25,worst,4,False,True,False,2198.36094789207,1446.4859130093828,751.875034882687,4861.698837019503,7603.892486891709,-2742.193649872206
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:261686,Prefix45,0.45,hidden,2,False,True,True,1289.0393381239846,1446.4859130093828,-157.44657488539815,5565.721291350201,7603.892486891709,-2038.1711955415085
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:261686,Prefix45,0.45,worst,7,False,True,False,2434.5851140096784,1446.4859130093828,988.0992010002956,6711.2670672358945,7603.892486891709,-892.6254196558148
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:263372,Prefix25,0.25,hidden,2,False,True,True,733.8036340661347,954.8877149354666,-221.08408086933196,2758.9181110961363,4855.647111777216,-2096.72900068108
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:263372,Prefix25,0.25,worst,5,False,True,False,1556.765444111079,954.8877149354666,601.8777291756123,3581.8799211410806,4855.647111777216,-1273.7671906361356
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:263372,Prefix45,0.45,hidden,2,False,True,True,792.5540340365842,954.8877149354666,-162.33368089888245,3553.8419459480792,4855.647111777216,-1301.805165829137
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:263372,Prefix45,0.45,worst,7,False,True,False,1615.5158440815285,954.8877149354666,660.6281291460618,4376.8037559930235,4855.647111777216,-478.8433557841927
