aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,history_tokens_mean,active_visual_tokens_mean,full_visual_kv_gb_mean,ssd_read_ratio_vs_fullload,ttft_reduction_vs_fullload_pct,ssd_reduction_vs_fullload_pct,quality_delta_vs_fullload,ttft_reduction_vs_sparsevlm_pct,ssd_reduction_vs_sparsevlm_pct
turn,6,SparseVLM 25%,0.25,2,1.0,657.9789265233558,657.9789265233558,692.2566041612299,34.3184299999848,34.3184299999848,45.91660400037654,692.2973565233406,692.2973565233406,738.1732081616065,871.54688,1743.09376,584.7703405015636,0.0,651.261841529049,0.24621125143513203,94.5,2242.0,1.175453696,0.7414557314897413,,,,,
turn,6,Static+Diverse 25%,0.25,2,1.0,302.6034674840048,302.6034674840048,324.3131806550082,19.400017015868798,19.400017015868798,19.582700831233524,322.0034844998736,322.0034844998736,343.53051385551225,301.13792,602.27584,13.415516441455111,47.76230608695187,54.3952104926575,0.24247990815154996,94.5,2242.0,1.175453696,0.25618867082961644,55.86311208514352,74.38113291703836,0.0,54.01015818501848,65.44788043989097
turn,6,Static+Diverse 50%,0.5,2,1.0,533.6251514963806,533.6251514963806,566.6694268700667,19.040982966544107,19.040982966544107,19.31844578066375,552.6661344629247,552.6661344629247,585.4329470224911,597.950464,1195.900928,22.242431587073952,91.18339943233877,54.534764029085636,0.48643959688735805,94.5,2242.0,1.175453696,0.5086975914362176,22.16694112604968,49.13024085637824,0.0,18.8993552854403,31.392048124823756
turn,7,FullLoad,1.0,2,0.5,590.0323530077003,590.0323530077003,616.9699928781483,19.84083600109443,19.84083600109443,19.884139532223344,609.8731890087947,609.8731890087947,636.8541324103717,1175.453696,2350.907392,0.0,0.0,584.9269894824829,1.0,109.5,2242.0,1.175453696,1.0,,,,,
turn,7,ReComp,,2,0.5,539.4079745165072,539.4079745165072,557.8477707400452,18.643193965544924,18.643193965544924,18.693238458945416,558.0511684820522,558.0511684820522,576.4409202121897,0.0,0.0,0.0,0.0,539.4075920339674,,109.5,2242.0,1.175453696,0.0,,,,,
turn,7,SparseVLM 25%,0.25,2,0.5,645.6406959914602,645.6406959914602,738.8682876597159,24.69882753212005,24.69882753212005,28.46621719072573,670.3395235235803,670.3395235235803,767.3345048504416,872.071168,1744.142336,573.1947304157075,0.0,638.7267744867131,0.24621125143513203,109.5,2242.0,1.175453696,0.7419017618198037,,,,,
turn,7,Static+Diverse 25%,0.25,2,0.5,338.63681100774556,338.63681100774556,356.37235951726325,19.120433513307944,19.120433513307944,19.29068157041911,357.7572445210535,357.7572445210535,375.32254497346,301.13792,602.27584,16.711358970496804,55.573261925019324,62.860553996870294,0.24247990815154996,109.5,2242.0,1.175453696,0.25618867082961644,42.607077513370506,74.38113291703836,0.0,47.550268576591606,65.46865312717229
turn,7,Static+Diverse 50%,0.5,2,0.5,512.6111575227696,512.6111575227696,533.58224965923,19.23651300603524,19.23651300603524,19.669497606810182,531.8476705288049,531.8476705288049,552.3857780644903,597.950464,1195.900928,19.379720644792542,86.38400700874627,60.992340004304424,0.48643959688735805,109.5,2242.0,1.175453696,0.5086975914362176,13.121516996529891,49.13024085637824,0.0,20.604267868277336,31.433295132169757
turn,8,FullLoad,1.0,2,0.5,628.1990839925129,628.1990839925129,660.5585398821859,90.75453248806298,90.75453248806298,144.07216735417023,718.9536164805759,718.9536164805759,804.6307072363561,1175.453696,2350.907392,0.0,0.0,623.2728430186398,1.0,127.5,2242.0,1.175453696,1.0,,,,,
turn,8,ReComp,,2,0.5,532.2971375135239,532.2971375135239,539.9013072805246,83.19203296559863,83.19203296559863,140.98026797000784,615.4891704791225,615.4891704791225,680.8815752505325,0.0,0.0,0.0,0.0,532.2968470281921,,127.5,2242.0,1.175453696,0.0,,,,,
turn,8,SparseVLM 25%,0.25,2,0.5,695.7953654928133,695.7953654928133,717.2562187537551,82.04125097836368,82.04125097836368,133.2429925474571,777.836616471177,777.836616471177,850.4992113012122,868.892672,1737.785344,615.2625810937025,0.0,689.1848635277711,0.24621125143513203,127.5,2242.0,1.175453696,0.7391977029438002,,,,,
turn,8,Static+Diverse 25%,0.25,2,0.5,316.16471998859197,316.16471998859197,319.26339837373234,86.2412879941985,86.2412879941985,145.9509402164258,402.40600798279047,402.40600798279047,465.21433859015815,301.13792,602.27584,14.049929508473724,49.480315967230126,57.868865987984464,0.24247990815154996,127.5,2242.0,1.175453696,0.25618867082961644,49.67125421781734,74.38113291703836,0.0,54.56067463676466,65.34233401844133
turn,8,Static+Diverse 50%,0.5,2,0.5,530.9530929953326,530.9530929953326,543.0699630785966,84.20389602542855,84.20389602542855,142.98590471444186,615.1569890207611,615.1569890207611,686.0558677930385,597.950464,1195.900928,21.608266077237204,89.15969741065055,60.24201796390116,0.48643959688735805,127.5,2242.0,1.175453696,0.5086975914362176,15.480123017552716,49.13024085637824,0.0,23.691200124727384,31.182471291460033
turn,9,FullLoad,1.0,2,0.5,651.878722012043,651.878722012043,688.8995902321767,29.94122199015692,29.94122199015692,38.835832872428,681.8199440021999,681.8199440021999,727.7354231046047,1175.453696,2350.907392,0.0,0.0,646.7269840068184,1.0,146.5,2242.0,1.175453696,1.0,,,,,
turn,9,ReComp,,2,0.5,550.8226644888055,550.8226644888055,568.4848670236534,20.27501052361913,20.27501052361913,20.48470737936441,571.0976750124246,571.0976750124246,588.9695744030178,0.0,0.0,0.0,0.0,550.8223834913224,,146.5,2242.0,1.175453696,0.0,,,,,
turn,9,SparseVLM 25%,0.25,2,0.5,667.451556015294,667.451556015294,684.8122563329525,24.86143200076185,24.86143200076185,28.050005066324957,692.3129880160559,692.3129880160559,712.8622613992775,873.611264,1747.222528,590.927750832634,0.0,660.7140164996963,0.24621125143513203,146.5,2242.0,1.175453696,0.7432119759143622,,,,,
turn,9,Static+Diverse 25%,0.25,2,0.5,343.1552365073003,343.1552365073003,358.37222181726247,19.273309997515753,19.273309997515753,19.34691827336792,362.42854650481604,362.42854650481604,377.57192353892606,301.13792,602.27584,17.233130056411028,56.828801054507494,63.652701006503776,0.24247990815154996,146.5,2242.0,1.175453696,0.25618867082961644,47.359037053987365,74.38113291703836,0.0,48.5872445101563,65.52952870351268
turn,9,Static+Diverse 50%,0.5,2,0.5,549.7001030307729,549.7001030307729,581.4501788438065,20.037361973663792,20.037361973663792,20.187909467495047,569.7374650044367,569.7374650044367,601.6380883113015,597.950464,1195.900928,22.760439984267578,92.15841948753223,62.7443625126034,0.48643959688735805,146.5,2242.0,1.175453696,0.5086975914362176,15.674482926194122,49.13024085637824,0.0,17.641947482675878,31.554171902252392
