aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,dialog_id
dialog,visdial:521039,Static+Diverse 50%,0.5,10,0.9,550.035739300074,562.0192769856658,585.5296040448593,19.54821070539765,19.481189985526726,20.244433009065688,569.5839500054717,581.2772920180578,605.104791210033,613.220352,6132.20352,20.902115560602397,88.01808241405524,56.36291630216874,0.4807692307692307,0.4807692307692307,0.49983974358974353,82.8,2340.0,2455.9,1.22683392,0.613220352,5.286104576,6.6940272128,2.1281345536,visdial:521039
dialog,visdial:52361,FullLoad,1.0,10,0.1,643.9884660998359,634.2105100047775,751.468601662782,32.31916300719604,23.91094749327749,61.1200055282097,676.307629107032,672.9864419903606,785.7892851607176,1072.693248,10726.93248,0.0,,,1.0,1.0,1.0,101.0,2046.0,2182.1,1.072693248,1.072693248,5.131963904,6.4010975744,2.1251072,visdial:52361
dialog,visdial:52361,ReComp,,10,0.1,487.8191490948666,487.87342850118876,512.8766001726035,25.472655304474756,19.494207517709583,50.52304372657088,513.2918043993413,518.6869449971709,536.7849834176013,0.0,0.0,0.0,0.0,487.81895399442874,,,,101.0,2046.0,2182.1,1.072693248,0.0,5.0244324352,7.799300249600001,2.1251072,visdial:52361
dialog,visdial:52361,SparseVLM 25%,0.25,10,0.1,667.6325618929695,689.7205804998521,736.2105289386818,38.319616398075595,32.75210352148861,73.11095259501595,705.9521782910451,726.8319219874684,782.4180349416565,822.9257216,8229.257216,,,,0.24633431085043983,0.24633431085043983,0.7202834799608994,101.0,2046.0,2182.1,1.072693248,0.7726432256,5.131963904,6.4021995008,2.1251072,visdial:52361
dialog,visdial:52361,Static+Diverse 25%,0.25,10,0.1,334.87668471061625,341.5123489976395,351.66073951113503,23.660854599438608,19.6207279805094,38.844082556897774,358.53753931005485,362.7661630162038,370.9292630665004,283.93472,2839.3472,15.650043380446732,51.73201346769929,55.72955760289915,0.2502443792766373,0.2502443792766373,0.26469330400782015,101.0,2046.0,2182.1,1.072693248,0.28393472,5.131963904,6.4015108608,2.1251072,visdial:52361
dialog,visdial:52361,Static+Diverse 50%,0.5,10,0.1,536.7198710911907,534.5592595112976,558.5326937638456,24.901811697054654,19.795376516412944,38.78837805823423,561.6216827882454,566.2957959866617,578.8260418921709,552.042496,5520.42496,21.643402468180284,83.72051902697422,56.55502259032801,0.49951124144672543,0.49951124144672543,0.5146322091886608,101.0,2046.0,2182.1,1.072693248,0.552042496,5.131963904,6.401589299199999,2.1251072,visdial:52361
dialog,visdial:525402,FullLoad,1.0,10,0.6,693.8233748020139,680.4455630190205,834.2950996157015,19.866741093574092,19.825242983642966,20.49545569170732,713.690115895588,700.3424750000704,854.0709139662795,1226.83392,12268.3392,0.0,,,1.0,1.0,1.0,100.6,2340.0,2474.0,1.22683392,1.22683392,5.28706304,6.7145884672,2.1050937344,visdial:525402
dialog,visdial:525402,ReComp,,10,0.6,553.7281668977812,555.5295394733548,581.6226653783815,19.279900897527114,19.155742484144866,19.88410039921291,573.0080677953083,574.9666405026801,601.3468433171511,0.0,0.0,0.0,0.0,553.7279526062775,,,,100.6,2340.0,2474.0,1.22683392,0.0,5.16315904,8.5404310528,2.09552384,visdial:525402
dialog,visdial:525402,SparseVLM 25%,0.25,10,0.6,771.6976961994078,774.3562514951918,841.9323229201837,31.49005299201235,29.874678468331695,42.8221689799102,803.1877491914202,811.5498069673777,878.1537031580228,965.1748864,9651.748864,,,,0.24615384615384617,0.24615384615384617,0.7398450854700854,100.6,2340.0,2474.0,1.22683392,0.9076670464,5.286104576,6.714678784,2.1432733695999997,visdial:525402
dialog,visdial:525402,Static+Diverse 25%,0.25,10,0.6,361.13604300189763,362.19793203053996,383.1297309807269,19.430028297938406,19.36921852757223,20.020021658274345,380.56607129983604,381.2401950126514,402.82346071326174,317.652992,3176.52992,16.82084368658252,55.74475096655078,56.31122280028649,0.2465811965811966,0.2465811965811966,0.25892094017094014,100.6,2340.0,2474.0,1.22683392,0.317652992,5.28706304,6.7150877183999995,2.0897370112,visdial:525402
