dialog_id,image_id,method,budget,n_turns,quality_mean,turn1_end_to_end_ttft_ms,reuse_turns_end_to_end_ttft_ms_mean,request_ttft_sum_10turn_ms,request_e2e_sum_10turn_ms,ssd_read_bytes_turn2_10,one_time_ssd_write_bytes,persist_ms_once,two_turn_ttft_hidden_ms,two_turn_ttft_worst_ms,two_turn_e2e_hidden_ms,two_turn_e2e_worst_ms,ten_turn_ttft_hidden_ms,ten_turn_ttft_worst_ms,ten_turn_e2e_hidden_ms,ten_turn_e2e_worst_ms
visdial:505558,visdial:505558,Prefix25,0.25,10,0.5,558.0243360018358,287.5876890935211,3146.3135378435254,3773.5749459825456,2887778304,1248404320,902.7124829590321,780.4604050470516,1683.1728880060837,857.3408341035247,1760.0533170625567,3146.3135378435254,4049.0260208025575,3773.5749459825456,4676.287428941578
visdial:505558,visdial:505558,Prefix45,0.45,10,0.5,557.1075949119404,432.449132656782,4449.149788822979,4741.51862191502,5303697408,1248404320,902.7124829590321,931.6727019613609,1834.385184920393,1008.1926139537245,1910.9050969127566,4449.149788822979,5351.862271782011,4741.51862191502,5644.231104874052
visdial:509296,visdial:509296,ReComp,,10,0.4,480.03207601141185,520.1194651243794,5161.107262130827,6010.668646194972,0,0,0.0,997.0613899640739,997.0613899640739,1145.5431280191988,1145.5431280191988,5161.107262130827,5161.107262130827,6010.668646194972,6010.668646194972
visdial:509296,visdial:509296,FullLoad,,10,0.4,485.0690320599824,672.6131246735653,6538.5871541220695,7348.666102043353,10116661248,1143541018,1205.7008929550648,1138.8287730515003,2344.529666006565,1196.013938053511,2401.714831008576,6538.5871541220695,7744.288047077134,7348.666102043353,8554.366994998418
visdial:509296,visdial:509296,Prefix25,0.25,10,0.4,479.9902980448678,271.3263738227801,2921.927662449889,3665.936179109849,2566914048,1143541018,1205.7008929550648,731.8952360656112,1937.596129020676,787.5415869057178,1993.2424798607826,2921.927662449889,4127.628555404954,3665.936179109849,4871.637072064914
visdial:509296,visdial:509296,Prefix45,0.45,10,0.4,480.27712607290596,409.98246454788995,4170.119307003915,5220.11661704164,4680843264,1143541018,1205.7008929550648,872.6546519901603,2078.355544945225,1022.3087180638686,2228.0096110189334,4170.119307003915,5375.82019995898,5220.11661704164,6425.817509996705
visdial:511888,visdial:511888,ReComp,,10,0.6,528.1685469672084,567.4983180231518,5635.653409175575,5952.147291041911,0,0,0.0,1091.3947098888457,1091.3947098888457,1129.3729960452765,1129.3729960452765,5635.653409175575,5635.653409175575,5952.147291041911,5952.147291041911
visdial:511888,visdial:511888,FullLoad,,10,0.6,526.9063520245254,867.7277684392822,8336.456267978065,8717.630073893815,11041505280,1248404321,940.7039260258898,1458.0078009748831,2398.711727000773,1507.617456954904,2448.3213829807937,8336.456267978065,9277.160194003955,8717.630073893815,9658.333999919705
visdial:511888,visdial:511888,Prefix25,0.25,10,0.6,526.8725019413978,271.21627180733617,2967.818948207423,3427.7045861817896,2887778304,1248404321,940.7039260258898,785.9136239858344,1726.6175500117242,825.3564729820937,1766.0603990079835,2967.818948207423,3908.522874233313,3427.7045861817896,4368.408512207679
visdial:511888,visdial:511888,Prefix45,0.45,10,0.6,528.6601369734854,444.0807619959944,4525.386994937435,4863.85091394186,5303697408,1248404321,940.7039260258898,958.919515949674,1899.6234419755638,998.4671688871458,1939.1710949130356,4525.386994937435,5466.090920963325,4863.85091394186,5804.55483996775
visdial:513467,visdial:513467,ReComp,,10,0.7,559.6438960637897,563.6997205696794,5632.9413811909035,5879.954619100317,0,0,0.0,1121.3703660760075,1121.3703660760075,1197.1357860602438,1197.1357860602438,5632.9413811909035,5632.9413811909035,5879.954619100317,5879.954619100317
visdial:513467,visdial:513467,FullLoad,,10,0.7,559.2090029967949,714.2564308726126,6987.516880850308,7288.882406894118,11098128384,1260987880,994.1695129964501,1231.2522999709472,2225.4218129673973,1311.8123000022024,2305.9818129986525,6987.516880850308,7981.686393846758,7288.882406894118,8283.051919890568
visdial:513467,visdial:513467,Prefix25,0.25,10,0.7,558.255776995793,299.37579301703306,3252.6379141490906,3501.2785913422704,2944401408,1260987880,994.1695129964501,832.8422320773825,1827.0117450738326,907.1936320979148,1901.3631450943649,3252.6379141490906,4246.807427145541,3501.2785913422704,4495.44810433872
visdial:513467,visdial:513467,Prefix45,0.45,10,0.7,558.6327139753848,443.5440747765824,4550.529386964627,4811.3492000848055,5360320512,1260987880,994.1695129964501,979.7358829528093,1973.9053959492594,1055.2269970066845,2049.3965100031346,4550.529386964627,5544.698899961077,4811.3492000848055,5805.518713081256
visdial:517134,visdial:517134,ReComp,,10,0.3,526.5647890046239,563.6157511940432,5599.1065497510135,6133.340199943632,0,0,0.0,1086.0232649138197,1086.0232649138197,1124.6728589758277,1124.6728589758277,5599.1065497510135,5599.1065497510135,6133.340199943632,6133.340199943632
visdial:517134,visdial:517134,FullLoad,,10,0.3,527.1443040110171,694.5232903558967,6777.853917214088,7193.599574966356,11041505280,1248404319,979.5693389605731,1242.6031500799581,2222.172489040531,1282.7512680087239,2262.320606969297,6777.853917214088,7757.423256174661,7193.599574966356,8173.168913926929
visdial:517134,visdial:517134,Prefix25,0.25,10,0.3,527.4159420514479,304.69241400714964,3269.6476681157947,3931.515427189879,2887778304,1248404319,979.5693389605731,820.0263071339577,1799.5956460945308,859.5859900815412,1839.1553290421143,3269.6476681157947,4249.217007076368,3931.515427189879,4911.084766150452
visdial:517134,visdial:517134,Prefix45,0.45,10,0.4,526.4072690624744,459.19852648189084,4659.194007399492,5517.920162063092,5303697408,1248404319,979.5693389605731,952.5069601368159,1932.076299097389,990.1863450650126,1969.7556840255857,4659.194007399492,5638.763346360065,5517.920162063092,6497.489501023665
