metric,turns_n,method,budget,scenario,n_dialogs,persistence_charged,cumulative_ms_mean,cumulative_ms_p50,cumulative_ms_p95,delta_vs_recomp_ms_mean,delta_vs_recomp_ms_p50,delta_vs_recomp_ms_p95,reduction_vs_recomp_pct_of_means,strictly_better_dialog_fraction,is_direct_two_turn_case
sum_of_per_request_e2e_ms_with_persistence_scenario,9,FullLoad,,worst,100,True,7327.18342329259,7328.7909250939265,8048.974944924702,2218.3948152000085,2225.053567031864,2632.922227762174,-43.42310839963035,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,9,Prefix25,0.25,hidden,100,False,3148.053613222437,3143.6962843872607,3663.2465465692803,-1960.7349948701449,-2017.1062380541116,-1111.6988760593815,38.37964623872361,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,9,Prefix25,0.25,worst,100,True,4127.798642838607,4114.278292399831,4767.496567638591,-980.9899652539752,-1018.2600046973675,-322.1316866984125,19.202007374116768,0.98,False
sum_of_per_request_e2e_ms_with_persistence_scenario,9,Prefix45,0.45,hidden,100,False,4214.037212503608,4224.954092060216,4807.799647317733,-894.7513955889735,-904.6299259644002,-347.2799007897266,17.513963959511692,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,9,Prefix45,0.45,worst,100,True,5193.782242119778,5186.777263996191,5979.209814424394,84.9936340271961,57.44841892737895,507.7965939184651,-1.6636749050951583,0.42,False
sum_of_per_request_e2e_ms_with_persistence_scenario,10,ReComp,,recompute_no_persistence,100,False,5694.655815722654,5808.065569901373,6418.868509156164,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,10,FullLoad,,hidden,100,False,7064.044190954883,7117.669932951685,7792.590473406015,1369.388375232229,1337.0501680183224,1971.2120907730423,-24.04690326413439,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,10,FullLoad,,worst,100,True,8043.789220571052,8036.496147979051,8879.739640670594,2349.1334048483986,2355.280981049873,2811.687039490789,-41.25154321640583,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,10,Prefix25,0.25,hidden,100,False,3476.459781754529,3477.1080483915284,4093.0116334813647,-2218.1960339681245,-2275.5230566253886,-1336.270885134582,38.95224058746094,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,10,Prefix25,0.25,worst,100,True,4456.204811370699,4425.698548555374,5108.276726171606,-1238.451004351955,-1244.5089640677907,-529.9430129933172,21.74760063518949,0.99,False
sum_of_per_request_e2e_ms_with_persistence_scenario,10,Prefix45,0.45,hidden,100,False,4675.649043079466,4687.801123713143,5422.500282997498,-1019.006772643188,-1027.1281237364747,-462.7432926790791,17.894088872408453,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,10,Prefix45,0.45,worst,100,True,5655.394072695635,5665.231763559859,6478.009423310868,-39.26174302701838,-70.357340562623,415.68825370632106,0.6894489201369924,0.59,False
