turn_id,method,budget,n_dialogs,quality_mean,history_tokens_mean,ssd_read_bytes_mean,ssd_read_bytes_total,ssd_preads_mean,end_to_end_ttft_ms_mean,end_to_end_ttft_ms_p50,end_to_end_ttft_ms_p95,core_ttft_ms_mean,core_ttft_ms_p50,core_ttft_ms_p95,pre_core_ms_mean,pre_core_ms_p50,pre_core_ms_p95,vision_ms_mean,vision_ms_p50,vision_ms_p95,ssd_read_ms_mean,ssd_read_ms_p50,ssd_read_ms_p95,scatter_ms_mean,scatter_ms_p50,scatter_ms_p95,prefill_ms_mean,prefill_ms_p50,prefill_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,request_e2e_ms_mean,request_e2e_ms_p50,request_e2e_ms_p95,end_to_end_ttft_delta_vs_recomp_ms,end_to_end_ttft_reduction_vs_recomp_pct
3,Prefix25,0.25,100,0.38,52.1,306834309.12,30683430912,65.0,265.2373513625935,263.7337074847892,326.2054432067089,264.8435367667116,263.35386448772624,325.7537648198195,0.3938145958818495,0.38132205372676253,0.48726142849773163,0.0,0.0,0.0,131.68246840243228,128.2361027551815,173.6024812562391,51.15487379138358,51.99508124496788,58.12429938232526,49.35250316397287,47.63343301601708,59.834029275225475,51.77301990799606,19.423868507146835,245.98468423355365,317.49662888236344,291.9389450107701,498.7579133652616,-259.5499270770233,49.45812098356491
3,Prefix45,0.45,100,0.39,52.1,554801561.6,55480156160,65.0,408.79378161393106,409.16998154716566,466.7750625812914,408.406865443103,408.81170704960823,466.40649429755285,0.3869161708280444,0.3867115010507405,0.4357832716777921,0.0,0.0,0.0,213.71939998934977,215.29643889516592,263.9573830703739,83.34789987537079,83.9093008544296,92.37244550604373,50.654260099399835,49.44559797877446,64.99515958712436,47.70375892170705,19.449657993391156,247.48622951447024,456.8980145920068,443.1135844788514,626.684553863015,-115.99349682568572,22.10295515748334
4,ReComp,,100,0.42,69.27,0.0,0,0.0,531.2703241303097,537.5318570295349,578.4602087107487,516.1024470918346,521.4289044961333,562.0881811191794,15.167877038475126,15.265328984241933,17.07126937690191,38.16927640914917,38.998464584350586,39.09570465087891,0.0,0.0,0.0,0.0,0.0,0.0,516.1023736081552,521.4288195129484,562.0881066424772,31.73706587869674,19.10878752823919,72.5917927280534,563.1012005149387,563.3982554427348,706.3661876774858,0.0,0.0
4,FullLoad,,100,0.42,69.27,1169434869.76,116943486976,64.0,693.5858727921732,685.7956550084054,833.2283027179074,693.175069965655,685.3837915114127,832.7946890378371,0.4108028265181929,0.4075965262018144,0.4585810645949095,0.0,0.0,0.0,421.8648819299415,419.2044398514554,494.7781488997861,0.0,0.0,0.0,688.3164222026244,680.4837539675646,827.879460726399,37.85718468716368,20.413282967638224,89.62520904606207,731.5853288851213,730.7204465032555,872.9029135603923,162.31554866186343,-30.55234619542777
4,Prefix25,0.25,100,0.41,69.27,306834309.12,30683430912,65.0,275.09706019889563,277.06803497858346,319.14952425286174,274.68591384007595,276.7006150097586,318.7712348473724,0.4111463588196784,0.3943034098483622,0.5093208397738636,0.0,0.0,0.0,138.24603749555536,133.30599159235135,173.34910395438783,52.0011388824787,52.466074004769325,58.542767859762534,51.06977680698037,48.45007002586499,65.28501154971309,44.53074494260363,19.397423486225307,208.03495139698484,320.31014558975585,305.15074147842824,495.60266784392286,-256.1732639314141,48.219004957743515
4,Prefix45,0.45,100,0.39,69.27,554801561.6,55480156160,65.0,412.2263957443647,416.4074499858543,476.35376364924014,411.82802799041383,416.0091499798,475.98238915670663,0.398367753950879,0.3953489940613508,0.4483689146582037,0.0,0.0,0.0,216.83656899258494,218.24071812443435,267.9376694431994,82.62626368785277,83.19077093619853,92.90512456791475,52.36878116149455,51.22059251880273,65.12267559301108,37.53867151797749,19.50013142777607,129.57257954403758,450.1527271140367,449.142639990896,566.8860003468579,-119.04392838594504,22.407411628123608
5,ReComp,,100,0.41,86.87,0.0,0,0.0,533.8868441537488,540.6007344136015,579.1813880612608,518.553670339752,525.2685284940526,563.061763177393,15.333173813996837,15.280699532013386,17.498451261781156,38.20678131103516,39.0043830871582,39.13717823028564,0.0,0.0,0.0,0.0,0.0,0.0,518.5535972646903,525.2684489823878,563.0616885609925,35.09293969953433,19.168922037351876,147.36995825078333,569.0743097173981,565.8475520322099,743.0714385700412,0.0,0.0
5,FullLoad,,100,0.41,86.87,1169434869.76,116943486976,64.0,690.7688630733173,685.1050149998628,838.6799262487328,690.3349721606355,684.700672456529,838.2544380961916,0.433890912681818,0.4338144790381193,0.49811017815954983,0.0,0.0,0.0,422.2130511025898,419.7349055320956,499.338445183821,0.0,0.0,0.0,685.4537664388772,679.8394654761069,833.3075332571751,40.90215467498638,21.06269751675427,148.44178907806048,731.8127230415121,723.2299295137636,921.9741244334728,156.8820189195685,-29.384881953448104
5,Prefix25,0.25,100,0.39,86.87,306834309.12,30683430912,65.0,275.3392960457131,272.0081840525381,330.1408239058219,274.90675366600044,271.6113594942726,329.74343146779574,0.43254237971268594,0.4099045181646943,0.5597325041890144,0.0,0.0,0.0,139.32198556372896,134.827415633481,180.79531448311172,50.93401296180673,52.17394744977355,58.81805628305301,52.2082963376306,52.11128247901797,63.782214309321716,48.591121768113226,19.420490018092096,245.5305595474783,324.6114469214808,306.506211461965,491.42078408040095,-258.5475481080357,48.4274057207484
5,Prefix45,0.45,100,0.39,86.87,554801561.6,55480156160,65.0,411.8169959296938,410.54584650555626,495.05589833133854,411.40227982075885,410.1654679980129,494.60640425095335,0.4147161089349538,0.41552953189238906,0.4764259734656662,0.0,0.0,0.0,217.3705787351355,214.46194150485098,275.49245564150624,81.99069644208066,82.52801530761644,94.74968011491,52.450858927331865,51.95233999984339,63.476502610137686,44.58228808012791,19.487552461214364,195.37224578671132,456.74992114538327,448.56801006244496,620.9738501755055,-122.06984822405502,22.86436715209662
6,ReComp,,100,0.49,103.66,0.0,0,0.0,539.3801154277753,544.1636085161008,582.8273084480315,524.1027095715981,528.5852160304785,566.7714101437014,15.27740585617721,15.259113977663219,17.367831454612315,38.17434555053711,39.00611114501953,39.08863277435303,0.0,0.0,0.0,0.0,0.0,0.0,524.1026358236559,528.5851440276019,566.7713375994936,35.454675713554025,19.12815449759364,198.11678690602997,574.929812445771,570.9230590146035,766.9572639104445,0.0,0.0
6,FullLoad,,100,0.49,103.66,1169434869.76,116943486976,64.0,690.9397158259526,699.8659719829448,802.5343156419694,690.4940851114225,699.411126493942,802.1184192621149,0.44563071453012526,0.43786701280623674,0.5204486369621008,0.0,0.0,0.0,423.27964961645193,425.19364244071767,489.22627842403017,0.0,0.0,0.0,685.5563726648688,694.4524890277535,796.4731324464083,40.340316608780995,20.035371475387365,219.88495209952814,731.422644071281,734.8499185172841,897.4077146267518,151.55960039817728,-28.09884830069742
6,Prefix25,0.25,100,0.47,103.66,306834309.12,30683430912,65.0,280.2031069411896,282.1858059614897,332.50783905969,279.7651475481689,281.7453335155733,332.1185104781762,0.4379593930207193,0.42295054299756885,0.5517007957678288,0.0,0.0,0.0,139.66691062087193,136.300660087727,175.87375256116502,51.82515648659319,52.1596156177111,59.96530772536062,55.350546835688874,55.93767552636564,65.50431677605957,48.79742020042613,19.394284521695226,227.4687367433216,329.751252111746,314.6335830097087,518.7991310784128,-259.1770084865857,48.05090159488653
